symbol,name,reportDate,fiscalDateEnding,estimate,currency
ARVN,Arvinas Inc,2021-03-15,2020-12-31,-0.78,USD
ARW,Arrow Electronics Inc,2021-02-04,2020-12-31,2.67,USD
ARWR,Arrowhead Pharmaceuticals Inc,2021-02-03,2020-12-31,0.14,USD
ASB,Associated Banc-Corp,2021-04-21,2021-03-31,,USD
ASFI,ASFI,2021-02-19,2020-12-31,,USD
ASGN,On Assignment,2021-02-10,2020-12-31,1.15,USD
ASH,Ashland Global Holdings Inc,2021-01-25,2020-12-31,0.62,USD
ASNA,ASNA,2021-03-08,2021-02-28,,USD
ASNAQ,ASNAQ,2021-03-08,2021-01-31,,USD
ASPS,Altisource Portfolio Solutions S.A.,2021-03-03,2020-12-31,-0.66,USD
ASTE,Astec Industries Inc,2021-03-01,2020-12-31,0.42,USD
ATEC,Alphatec Holdings Inc,2021-03-04,2020-12-31,-0.21,USD
ATEN,A10 Networks Inc,2021-02-09,2020-12-31,0.15,USD
ATGE,Adtalem Global Education Inc,2021-02-02,2020-12-31,0.67,USD
ATH,Athene Holding Ltd Class A,2021-02-16,2020-12-31,1.83,USD
ATHM,Autohome Inc,2021-02-17,2020-12-31,1.49,CNY
ATHX,Athersys Inc,2021-03-15,2020-12-31,-0.11,USD
ATI,Allegheny Technologies Inc,2021-01-28,2020-12-31,-0.35,USD
ATKR,Atkore International Group Inc,2021-02-02,2020-12-31,1.21,USD
ATLO,Ames National Corp,2021-03-08,2020-12-31,,USD
ATNI,ATN International Inc,2021-02-17,2020-12-31,-0.54,USD
ATO,Atmos Energy Corp,2021-02-02,2020-12-31,1.57,USD
ATOS,Atossa Therapeutics Inc,2021-03-24,2020-12-31,-0.45,USD
ATR,Aptargroup Inc,2021-02-18,2020-12-31,0.9,USD
ATRI,ATRION Corp,2021-02-24,2020-12-31,,USD
ATTO,Atento SA,2021-03-01,2020-12-31,0.17,USD
ATUS,Altice USA Inc Class A,2021-02-10,2020-12-31,0.37,USD
ATVI,Activision Blizzard Inc,2021-02-04,2020-12-31,1.17,USD
AUB,Atlantic Union Bankshares Corp,2021-01-26,2020-12-31,0.66,USD
AUDC,AudioCodes Ltd,2021-01-26,2020-12-31,0.37,USD
AUMN,Golden Minerals Company,2021-02-25,2020-12-31,-0.02,USD
AUTO,AutoWeb Inc,2021-03-25,2020-12-31,-0.15,USD
AVA,Avista Corp,2021-02-24,2020-12-31,0.79,USD
AVAV,AeroVironment Inc,2021-03-01,2021-01-31,0.06,USD
AVB,Avalonbay Communities Inc,2021-02-03,2020-12-31,0.86,USD
AVCO,Avalon GloboCare Corp,2021-04-05,2021-03-31,,USD
AVDL,Avadel Pharmaceuticals plc,2021-03-09,2020-12-31,-0.28,USD
AVGO,Broadcom Inc,2021-03-10,2021-01-31,6.55,USD
AVGOP,,2021-03-10,2021-01-31,,USD
AVLR,Avalara Inc,2021-02-10,2020-12-31,-0.06,USD
AVNS,Avanos Medical Inc,2021-02-23,2020-12-31,0.22,USD
AVNT,Avient Corp,2021-02-09,2020-12-31,0.46,USD
AVNT,Avient Corp,2021-04-19,2021-03-31,,USD
AVNT_OLD,AVNT_OLD,2021-01-26,2020-12-31,,USD
AVNT_OLD,AVNT_OLD,2021-04-19,2021-03-31,,USD
AVNW,Aviat Networks Inc,2021-02-04,2020-12-31,0.72,USD
AVRO,AvroBio Inc,2021-03-15,2020-12-31,-0.88,USD
AVT,Avnet Inc,2021-01-27,2020-12-31,0.39,USD
AVTR,Avantor Inc,2021-02-03,2020-12-31,0.25,USD
AVY,Avery Dennison Corp,2021-01-27,2020-12-31,2.08,USD
AWI,Armstrong World Industries Inc,2021-02-22,2020-12-31,0.67,USD
AWK,American Water Works Company Inc,2021-02-16,2020-12-31,0.8,USD
AWR,American States Water Company,2021-02-22,2020-12-31,0.48,USD
AWRE,Aware Inc,2021-02-09,2020-12-31,,USD
AX,Axos Financial Inc,2021-01-28,2020-12-31,0.82,USD
AXE,AXE,2021-02-02,2020-12-31,,USD
AXL,American Axle Manufact Holdings Inc,2021-02-12,2020-12-31,0.26,USD
AXP,American Express Company,2021-01-26,2020-12-31,1.29,USD
AXP,American Express Company,2021-04-22,2021-03-31,,USD
AXS,Axis Capital Holdings Ltd,2021-01-27,2020-12-31,0.59,USD
AXSM,Axsome Therapeutics Inc,2021-03-10,2020-12-31,-0.76,USD
AXTA,Axalta Coating Systems Ltd,2021-01-28,2020-12-31,0.43,USD
AXTI,AXT Inc,2021-02-17,2020-12-31,0.02,USD
AXTI,AXT Inc,2021-04-20,2021-03-31,,USD
AY,Atlantica Sustainable Infrastructure Plc,2021-02-25,2020-12-31,0.22,USD
AYI,Acuity Brands Inc,2021-03-31,2021-02-28,1.7,USD
AYR,AYR,2021-02-11,2020-12-31,,USD
AYTU,Aytu BioScience Inc,2021-02-11,2020-12-31,-0.44,USD
AYX,Alteryx Inc Class A,2021-02-09,2020-12-31,0.31,USD
AZEK,AZEK Company Inc - Class A,2021-02-11,2020-12-31,0.1,USD
AZO,Autozone Inc,2021-03-01,2021-02-28,12.57,USD
AZPN,Aspen Technology Inc,2021-01-27,2020-12-31,1.12,USD
AZRE,Azure Power Global Ltd,2021-02-09,2020-12-31,-0.19,INR
AZUL,Azul S.A.,2021-03-04,2020-12-31,-0.92,BRL
B,Barnes Group Inc,2021-02-19,2020-12-31,0.33,USD
B,Barnes Group Inc,2021-04-22,2021-03-31,,USD
BA,Boeing Company,2021-01-27,2020-12-31,-1.5,USD
BABA,Alibaba Group Holding Ltd,2021-02-11,2020-12-31,3.25,CNY
BAC,Bank Of America Corp,2021-04-15,2021-03-31,,USD
BAH,Booz Allen Hamilton Holding Corp Class A,2021-01-29,2020-12-31,0.93,USD
BAND,Bandwidth Inc - Class A,2021-02-18,2020-12-31,0.04,USD
BANF,Bancfirst Corp,2021-04-19,2021-03-31,,USD
BAP,Credicorp Ltd,2021-02-08,2020-12-31,1.49,PEN
BASI,Bioanalytical Systems Inc,2021-02-12,2020-12-31,,USD
BASX,BASX,2021-03-08,2020-12-31,-1.13,USD
BAX,Baxter International Inc,2021-02-04,2020-12-31,0.75,USD
BBBY,Bed Bath & Beyond Inc,2021-04-13,2021-02-28,0.29,USD
BBDC,BRANTLEY CAPITAL CORP,2021-02-25,2020-12-31,0.17,USD
BBGI,Beasley Broadcast Group Inc - Class A,2021-02-16,2020-12-31,0.01,USD
BBIO,BridgeBio Pharma Inc,2021-03-01,2020-12-31,-0.84,USD
BBSI,Barrett Business Services Inc,2021-02-23,2020-12-31,0.64,USD
BBW,Build A Bear Workshop Inc,2021-03-09,2021-02-28,0.16,USD
BBY,Best Buy Co. Inc,2021-02-25,2020-11-30,3.39,USD
BC,Brunswick Corp,2021-01-28,2020-12-31,1.02,USD
BCBP,BCB Bancorp Inc,2021-01-25,2020-12-31,0.22,USD
BCC,Boise Cascade Company,2021-02-22,2020-12-31,0.87,USD
BCLI,Brainstorm Cell Therapeutics Inc,2021-02-16,2020-12-31,-0.37,USD
BCO,Brinks Company,2021-02-04,2020-12-31,0.97,USD
BCOR,Blucora Inc,2021-02-17,2020-12-31,-0.3,USD
BCOV,Brightcove Inc,2021-02-17,2020-12-31,0.07,USD
BCPC,Balchem Corp,2021-02-19,2020-12-31,0.75,USD
BCRH,BCRH,2021-01-28,2020-12-31,,USD
BCRHF,BCRHF,2021-01-28,2020-12-31,,USD
BCRX,Biocryst Pharmaceuticals Inc,2021-03-03,2020-12-31,-0.23,USD
BDC,Belden Inc,2021-02-02,2020-12-31,0.72,USD
BDN,Brandywine Realty Trust,2021-02-02,2020-12-31,0.04,USD
BDN,Brandywine Realty Trust,2021-04-20,2021-03-31,,USD
BDSI,Biodelivery Sciences International,2021-03-10,2020-12-31,0.06,USD
BDX,Becton Dickinson And Company,2021-02-04,2020-12-31,3.06,USD
BDXB,,2021-02-04,2020-12-31,,USD
BE,Bloom Energy Corp - Class A,2021-02-10,2020-12-31,0,USD
BEAT,BioTelemetry Inc,2021-02-22,2020-12-31,0.48,USD
BECN,Beacon Roofing Supply Inc - Class A,2021-02-01,2020-12-31,0.59,USD
BECN,Beacon Roofing Supply Inc - Class A,2021-04-20,2021-03-31,,USD
BEN,Franklin Resources Inc,2021-01-28,2020-12-31,0.73,USD
BERY,Berry Global Group Inc,2021-02-05,2020-12-31,0.94,USD
BFAM,Bright Horizons Family Solutions Inc,2021-02-11,2020-12-31,-0.2,USD
BFB,BFB,2021-03-02,2021-01-31,,USD
BFIN,Bankfinancial Corp,2021-02-16,2020-12-31,0.14,USD
BFIN,Bankfinancial Corp,2021-04-19,2021-03-31,,USD
BFYT,BFYT,2021-03-01,2020-12-31,,USD
BG,Bunge Ltd,2021-02-10,2020-12-31,1.7,USD
BGCP,BGC Partners Inc Class A,2021-02-24,2020-12-31,0.12,USD
BGFV,Big 5 Sporting Goods Corp,2021-02-23,2020-12-31,0.9,USD
BGG,BGG,2021-01-28,2020-10-31,,USD
BGGSQ,BGGSQ,2021-01-28,2020-12-31,,USD
BGS,B&G Foods Inc,2021-02-23,2020-12-31,0.44,USD
BH,Biglari Holdings Inc,2021-02-22,2020-12-31,,USD
BHE,Benchmark Electronics Inc,2021-02-04,2020-12-31,0.33,USD
BHF,Brighthouse Financial Inc,2021-02-08,2020-12-31,2.69,USD
BHFAO,Brighthouse Financial Inc,2021-02-08,2020-12-31,,USD
BHFAP,Brighthouse Financial Inc. Depositary Shares 6.6 NonCumulative Preferred Stock Series A,2021-02-08,2020-12-31,,USD
BHLB,Berkshire Hills Bancorp Inc,2021-01-25,2020-12-31,0.16,USD
BHR,Braemar Hotels & Resorts Inc,2021-02-25,2020-12-31,-0.88,USD
BHVN,Biohaven Pharmaceutical Holding Company Ltd,2021-02-22,2020-12-31,-3.01,USD
BIDU,Baidu Inc,2021-02-25,2020-12-31,2.63,CNY
BIG,Big Lots Inc,2021-02-25,2021-01-31,2.5,USD
BIIB,Biogen Inc,2021-01-28,2020-12-31,4.89,USD
BIIB,Biogen Inc,2021-04-20,2021-03-31,,USD
BIO,BioRad Laboratories Inc Class A,2021-02-11,2020-12-31,3.29,USD
BIOC,Biocept Inc,2021-03-23,2020-12-31,-0.27,USD
